วันเวลา,รูปภาพ,สถานที่
2025-10-14 23:28:28,without_mask_2025-10-14_23-28-28.jpg,Cafeteria
2025-10-14 23:28:30,without_mask_2025-10-14_23-28-30.jpg,Cafeteria
2025-10-14 23:28:32,without_mask_2025-10-14_23-28-32.jpg,Cafeteria
2025-10-14 23:28:44,without_mask_2025-10-14_23-28-44.jpg,กระโจง
2025-10-14 23:28:57,without_mask_2025-10-14_23-28-57.jpg,กระโจง
2025-10-14 23:29:05,without_mask_2025-10-14_23-29-05.jpg,กระโจง
2025-10-15 03:14:11,without_mask_2025-10-15_03-14-11.jpg,กระโจง
2025-10-15 03:14:13,without_mask_2025-10-15_03-14-13.jpg,กระโจง
2025-10-15 03:14:15,without_mask_2025-10-15_03-14-15.jpg,กระโจง
2025-10-15 03:14:17,without_mask_2025-10-15_03-14-17.jpg,กระโจง
2025-10-15 03:14:19,without_mask_2025-10-15_03-14-19.jpg,กระโจง
2025-10-15 03:14:21,without_mask_2025-10-15_03-14-21.jpg,กระโจง
2025-10-15 03:14:23,without_mask_2025-10-15_03-14-23.jpg,กระโจง
2025-10-15 03:14:25,without_mask_2025-10-15_03-14-25.jpg,กระโจง
2025-10-15 03:14:27,without_mask_2025-10-15_03-14-27.jpg,กระโจง
2025-10-15 03:14:30,without_mask_2025-10-15_03-14-30.jpg,กระโจง
2025-10-15 03:14:32,without_mask_2025-10-15_03-14-32.jpg,กระโจง
2025-10-15 03:14:34,without_mask_2025-10-15_03-14-34.jpg,กระโจง
2025-10-15 03:14:36,without_mask_2025-10-15_03-14-36.jpg,กระโจง
2025-10-15 03:14:41,without_mask_2025-10-15_03-14-41.jpg,กระโจง
2025-10-15 03:14:43,without_mask_2025-10-15_03-14-43.jpg,กระโจง
2025-10-15 03:14:57,without_mask_2025-10-15_03-14-57.jpg,กระโจง
2025-10-15 03:14:59,without_mask_2025-10-15_03-14-59.jpg,กระโจง
2025-10-15 03:15:02,without_mask_2025-10-15_03-15-02.jpg,กระโจง
2025-10-15 03:15:04,without_mask_2025-10-15_03-15-04.jpg,กระโจง
2025-10-15 03:15:09,without_mask_2025-10-15_03-15-09.jpg,กระโจง
2025-10-15 03:15:11,without_mask_2025-10-15_03-15-11.jpg,กระโจง
2025-10-15 03:15:39,without_mask_2025-10-15_03-15-39.jpg,กระโจง
2025-10-15 03:15:42,without_mask_2025-10-15_03-15-42.jpg,กระโจง
2025-10-15 03:15:44,without_mask_2025-10-15_03-15-44.jpg,กระโจง
2025-10-15 03:20:54,without_mask_2025-10-15_03-20-54.jpg,กระถิน
2025-10-15 04:13:05,without_mask_2025-10-15_04-13-05.jpg,Cafeteria
2025-10-15 04:13:07,without_mask_2025-10-15_04-13-07.jpg,Cafeteria
2025-10-15 04:13:09,without_mask_2025-10-15_04-13-09.jpg,Cafeteria
2025-10-15 04:13:11,without_mask_2025-10-15_04-13-11.jpg,Cafeteria
2025-10-15 04:13:13,without_mask_2025-10-15_04-13-13.jpg,Cafeteria
2025-10-15 04:13:15,without_mask_2025-10-15_04-13-15.jpg,Cafeteria
2025-10-15 04:13:17,without_mask_2025-10-15_04-13-17.jpg,Cafeteria
2025-10-15 04:13:19,without_mask_2025-10-15_04-13-19.jpg,Cafeteria
2025-10-15 04:13:21,without_mask_2025-10-15_04-13-21.jpg,Cafeteria
2025-10-15 04:13:31,without_mask_2025-10-15_04-13-31.jpg,Cafeteria
2025-10-15 04:13:33,without_mask_2025-10-15_04-13-33.jpg,Cafeteria
2025-10-15 04:13:35,without_mask_2025-10-15_04-13-35.jpg,Cafeteria
2025-10-15 04:13:37,without_mask_2025-10-15_04-13-37.jpg,Cafeteria
2025-10-15 04:13:39,without_mask_2025-10-15_04-13-39.jpg,Cafeteria
2025-10-15 04:13:45,without_mask_2025-10-15_04-13-45.jpg,Cafeteria
2025-10-15 04:13:47,without_mask_2025-10-15_04-13-47.jpg,Cafeteria
2025-10-15 07:56:52,without_mask_2025-10-15_07-56-52.jpg,Cafeteria
2025-10-15 07:56:54,without_mask_2025-10-15_07-56-54.jpg,Cafeteria
2025-10-15 07:56:56,without_mask_2025-10-15_07-56-56.jpg,Cafeteria
2025-10-15 07:56:58,without_mask_2025-10-15_07-56-58.jpg,Cafeteria
2025-10-15 07:57:00,without_mask_2025-10-15_07-57-00.jpg,Cafeteria
2025-10-15 07:57:02,without_mask_2025-10-15_07-57-02.jpg,Cafeteria
2025-10-15 07:57:04,without_mask_2025-10-15_07-57-04.jpg,Cafeteria
2025-10-15 08:34:42,without_mask_2025-10-15_08-34-42.jpg,กระโจง
2025-10-15 08:35:12,without_mask_2025-10-15_08-35-12.jpg,กระต่าย
2025-10-15 08:35:14,without_mask_2025-10-15_08-35-14.jpg,กระต่าย
2025-10-15 08:35:16,without_mask_2025-10-15_08-35-16.jpg,กระต่าย
2025-10-15 08:35:18,without_mask_2025-10-15_08-35-18.jpg,กระต่าย
2025-10-15 08:35:20,without_mask_2025-10-15_08-35-20.jpg,กระต่าย
2025-10-15 08:35:22,without_mask_2025-10-15_08-35-22.jpg,กระต่าย
2025-10-15 08:35:24,without_mask_2025-10-15_08-35-24.jpg,กระต่าย
2025-10-15 08:35:26,without_mask_2025-10-15_08-35-26.jpg,กระต่าย
2025-10-15 08:35:29,without_mask_2025-10-15_08-35-29.jpg,กระต่าย
2025-10-15 08:35:31,without_mask_2025-10-15_08-35-31.jpg,กระต่าย
2025-10-15 08:36:49,without_mask_2025-10-15_08-36-49.jpg,กระต่าย
2025-10-15 08:36:53,without_mask_2025-10-15_08-36-53.jpg,กระต่าย
2025-10-15 08:37:07,without_mask_2025-10-15_08-37-07.jpg,กระต่าย
2025-10-15 08:37:09,without_mask_2025-10-15_08-37-09.jpg,กระต่าย
2025-10-15 08:37:16,without_mask_2025-10-15_08-37-16.jpg,กระต่าย
2025-10-15 08:37:20,without_mask_2025-10-15_08-37-20.jpg,กระต่าย
2025-10-15 08:37:42,without_mask_2025-10-15_08-37-42.jpg,กระต่าย
2025-10-15 09:00:51,without_mask_2025-10-15_09-00-51.jpg,กระต่าย
2025-10-15 09:00:53,without_mask_2025-10-15_09-00-53.jpg,กระต่าย
2025-10-15 09:00:56,without_mask_2025-10-15_09-00-56.jpg,กระต่าย
2025-10-15 09:00:58,without_mask_2025-10-15_09-00-58.jpg,กระต่าย
2025-10-15 09:01:01,without_mask_2025-10-15_09-01-01.jpg,กระต่าย
2025-10-15 09:01:03,without_mask_2025-10-15_09-01-03.jpg,กระต่าย
2025-10-15 09:01:05,without_mask_2025-10-15_09-01-05.jpg,กระต่าย
2025-10-15 09:01:07,without_mask_2025-10-15_09-01-07.jpg,กระต่าย
2025-10-15 09:01:10,without_mask_2025-10-15_09-01-10.jpg,กระต่าย
2025-10-15 09:01:12,without_mask_2025-10-15_09-01-12.jpg,กระต่าย
2025-10-15 09:01:14,without_mask_2025-10-15_09-01-14.jpg,กระต่าย
2025-10-15 09:01:17,without_mask_2025-10-15_09-01-17.jpg,กระต่าย
2025-10-15 11:58:10,without_mask_2025-10-15_11-58-10.jpg,Cafeteria
2025-10-16 02:36:16,without_mask_2025-10-16_02-36-16.jpg,กระถิน
2025-10-16 02:36:18,without_mask_2025-10-16_02-36-18.jpg,กระถิน
2025-10-16 02:36:20,without_mask_2025-10-16_02-36-20.jpg,กระถิน
2025-10-16 02:36:22,without_mask_2025-10-16_02-36-22.jpg,กระถิน
2025-10-16 02:36:24,without_mask_2025-10-16_02-36-24.jpg,กระถิน
2025-10-16 02:36:26,without_mask_2025-10-16_02-36-26.jpg,กระถิน
2025-10-16 02:36:28,without_mask_2025-10-16_02-36-28.jpg,กระถิน
2025-10-16 02:36:33,without_mask_2025-10-16_02-36-33.jpg,กระถิน
2025-10-16 02:36:37,without_mask_2025-10-16_02-36-37.jpg,กระถิน
2025-10-16 02:36:39,without_mask_2025-10-16_02-36-39.jpg,กระถิน
2025-10-16 02:36:42,without_mask_2025-10-16_02-36-42.jpg,กระถิน
2025-10-16 02:36:44,without_mask_2025-10-16_02-36-44.jpg,กระถิน
2025-10-16 02:36:46,without_mask_2025-10-16_02-36-46.jpg,กระถิน
2025-10-16 02:36:48,without_mask_2025-10-16_02-36-48.jpg,กระถิน
2025-10-16 02:36:50,without_mask_2025-10-16_02-36-50.jpg,กระถิน
2025-10-16 02:36:52,without_mask_2025-10-16_02-36-52.jpg,กระถิน
2025-10-16 02:38:32,without_mask_2025-10-16_02-38-32.jpg,กระถิน
2025-10-16 02:38:34,without_mask_2025-10-16_02-38-34.jpg,กระถิน
2025-10-16 02:38:36,without_mask_2025-10-16_02-38-36.jpg,กระถิน
2025-10-16 02:38:39,without_mask_2025-10-16_02-38-39.jpg,กระถิน
2025-10-16 02:38:41,without_mask_2025-10-16_02-38-41.jpg,กระถิน
2025-10-16 02:38:43,without_mask_2025-10-16_02-38-43.jpg,กระถิน
2025-10-16 02:38:45,without_mask_2025-10-16_02-38-45.jpg,กระถิน
2025-10-16 02:38:49,without_mask_2025-10-16_02-38-49.jpg,กระถิน
2025-10-16 02:38:51,without_mask_2025-10-16_02-38-51.jpg,กระถิน
2025-10-16 02:38:54,without_mask_2025-10-16_02-38-54.jpg,กระถิน
2025-10-16 02:38:56,without_mask_2025-10-16_02-38-56.jpg,กระถิน
2025-10-16 02:38:58,without_mask_2025-10-16_02-38-58.jpg,กระถิน
2025-10-16 12:28:08,without_mask_2025-10-16_12-28-08.jpg,Cafeteria
2025-10-16 12:36:43,without_mask_2025-10-16_12-36-43.jpg,Cafeteria
